university,program,category,maximum_aggregate,minimum_aggregate,academic_year,website
University of Ghana,Bachelor of Arts in Development Studies,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Science),Education,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Mathematics),Education,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Social Studies),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Language Arts),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (ICT),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Early Childhood),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Basic Education),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Physical Education),Education,32,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Guidance and Counselling),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Education (Special Education),Education,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Data Science,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Cybersecurity,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Artificial Intelligence,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Information Systems,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Computer Networking,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Mobile Computing,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Blockchain Technology,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Cloud Computing,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Game Development,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Digital Innovation,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Midwifery,Science,15,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Dental Technology,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Medical Imaging,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Community Health,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Health Information Management,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Occupational Therapy,Science,14,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Speech and Language Therapy,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Agribusiness Management,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Animal Science,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Soil Science,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Crop Science,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Horticulture,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Natural Resource Management,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Water Resources Engineering,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Marine Science,Science,26,,2026,www.ug.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Computer Science,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Information Technology,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Software Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Electrical Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Mechanical Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Civil Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Chemical Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Biomedical Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Environmental Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Telecommunication Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Computer Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Petroleum Engineering,Science,20,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Mining Engineering,Science,20,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Metallurgical Engineering,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Agricultural Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Food Science and Technology,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Biochemistry,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Chemistry,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Physics,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Mathematics,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Statistics,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Actuarial Science,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Medicine,Science,18,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Nursing,Science,20,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Pharmacy,Science,20,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Optometry,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Physiotherapy,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Medical Laboratory Science,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Radiography,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Nutrition and Dietetics,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Public Health,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Agriculture,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Forestry,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Fisheries and Aquaculture,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Environmental Science,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Geology,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Architecture,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Quantity Surveying,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Land Economy,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Urban Planning,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Business Administration,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Accounting,Business,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Finance,Business,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Marketing,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Supply Chain Management,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Human Resource Management,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Entrepreneurship,Business,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Insurance,Business,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Banking and Finance,Business,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Tourism Management,Business,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Hospitality Management,Business,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Real Estate Management,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in International Business,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Project Management,Business,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Logistics and Transport,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Laws,Arts,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Economics,Arts,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Political Science,Arts,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Sociology,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Psychology,Arts,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Geography and Rural Development,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in History,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Language and Linguistics,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Communication Studies,Arts,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Journalism and Mass Communication,Arts,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Philosophy,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Religious Studies,Arts,32,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Fine Arts,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Music,Arts,32,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Theatre Arts,Arts,32,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in French,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Social Work,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in International Relations,Arts,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Development Studies,Arts,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Science),Education,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Mathematics),Education,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Social Studies),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Language Arts),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (ICT),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Early Childhood),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Basic Education),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Physical Education),Education,32,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Guidance and Counselling),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Education (Special Education),Education,30,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Data Science,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Cybersecurity,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Artificial Intelligence,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Information Systems,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Computer Networking,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Mobile Computing,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Blockchain Technology,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Cloud Computing,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Game Development,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Digital Innovation,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Midwifery,Science,20,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Dental Technology,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Medical Imaging,Science,22,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Community Health,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Health Information Management,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Occupational Therapy,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Speech and Language Therapy,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Agribusiness Management,Business,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Animal Science,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Soil Science,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Crop Science,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Horticulture,Science,28,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Natural Resource Management,Science,26,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Water Resources Engineering,Science,24,,2026,www.knust.edu.gh
Kwame Nkrumah University of Science and Technology,Bachelor of Science in Marine Science,Science,26,,2026,www.knust.edu.gh
University of Cape Coast,Bachelor of Science in Computer Science,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Information Technology,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Software Engineering,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Electrical Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Mechanical Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Civil Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Chemical Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Biomedical Engineering,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Environmental Engineering,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Telecommunication Engineering,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Computer Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Petroleum Engineering,Science,21,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Mining Engineering,Science,21,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Metallurgical Engineering,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Agricultural Engineering,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Food Science and Technology,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Biochemistry,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Chemistry,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Physics,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Mathematics,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Statistics,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Actuarial Science,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Medicine,Science,19,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Nursing,Science,21,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Pharmacy,Science,21,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Optometry,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Physiotherapy,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Medical Laboratory Science,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Radiography,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Nutrition and Dietetics,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Public Health,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Agriculture,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Forestry,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Fisheries and Aquaculture,Science,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Environmental Science,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Geology,Science,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Architecture,Science,23,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Quantity Surveying,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Land Economy,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Urban Planning,Science,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Business Administration,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Accounting,Business,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Finance,Business,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Marketing,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Supply Chain Management,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Human Resource Management,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Entrepreneurship,Business,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Insurance,Business,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Banking and Finance,Business,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Tourism Management,Business,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Hospitality Management,Business,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Real Estate Management,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in International Business,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Project Management,Business,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Science in Logistics and Transport,Business,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Laws,Arts,25,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Economics,Arts,27,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Political Science,Arts,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Sociology,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Psychology,Arts,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Geography and Rural Development,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in History,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Language and Linguistics,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Communication Studies,Arts,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Journalism and Mass Communication,Arts,29,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Philosophy,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Religious Studies,Arts,33,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Fine Arts,Arts,31,,2026,www.ucc.edu.gh
University of Cape Coast,Bachelor of Arts in Music,Arts,33,,2026,www.ucc.edu.gh
